conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1888847278158610835,Mon Feb 10 07:07:38 +0000 2025,198,#KaburAjaDulu versi web3 2 hari dari Singapore 3 hari di Johor Bahru 2 hari di Batam Alias semerdeka lo mau kerja dari mana aja!,1888847278158610835,https://pbs.twimg.com/media/GjaIkbNagAEYFKS.jpg,,in,Web3,1,19,9,https://x.com/wordgenic/status/1888847278158610835,76799026,wordgenic
1888767929690566930,Mon Feb 10 01:52:20 +0000 2025,3952,Kerjaan paling cocok untuk #KaburAjaDulu adalah di industri crypto/web3. Hampir semua perusahaan web3 menerapkan kerja remote. Etos kerja internasional. Standar gajinya di atas rata2 (standar global). Pertanyaannya apakah kamu siap dengan tantangannya? Etos kerja global,1888767929690566930,,,in,Jakarta,36,77,460,https://x.com/WilliamSutant0/status/1888767929690566930,1570273856765710336,WilliamSutant0
1888551627251974380,Sun Feb 09 11:32:50 +0000 2025,1317,#KaburAjaDulu pindah ke US #KaburAjaDulu kerja remote ke US dari Indo #KaburAjaDulu bikin startup US supaya bisa buka lapangan kerja bagi remote engineers Indo Pic unrelated,1888551627251974380,https://pbs.twimg.com/media/GjV7QaxXcAAE7Hn.jpg,,in,Jakarta Capital Region,3,25,106,https://x.com/ibamarief/status/1888551627251974380,143422219,ibamarief
1888547301691703788,Sun Feb 09 11:15:38 +0000 2025,39,Tebak hastag pemerintah kalo mau nge-counter #KaburAjaDulu,1888547301691703788,,,in,Indonesia,0,22,0,https://x.com/thonisho/status/1888547301691703788,1526640801270231040,thonisho
1888530093527441694,Sun Feb 09 10:07:16 +0000 2025,9714,Halo! Aku Angelina mau share soal #KaburAjaDulu di Belanda dengan role Digital Marketing (khususnya SEA Specialist). Tapi masih newbie karena baru di sini setahunan jadi apa yang aku share pastinya subjektif ya. Please take it with a grain of salt :),1888530093527441694,,,in,The Netherlands,74,35,1276,https://x.com/angelinaarini/status/1888530093527441694,322401508,angelinaarini
1888517235339096519,Sun Feb 09 09:16:10 +0000 2025,5969,Menarik banget nih. Kamu ada di level berapa di piramid ini? Agar sukses setelah #KaburAjaDulu minimal harus level 3. Apalagi kalau udh 4-5 kamu bakal cepat di promote. Admin pernah post bahwa salah satu penyebab kandidat indonesia gagal interview adalah kurangnya bukti,1888517235339096519,https://pbs.twimg.com/media/GjVcarTW4AAeUA3.jpg,,in,Europe,80,29,1355,https://x.com/IndoWorkAbroad/status/1888517235339096519,1252241356883406848,IndoWorkAbroad
1888499071469707303,Sun Feb 09 08:03:59 +0000 2025,126,segini cuma 870 Ribu atau 8210 Yen #KaburAjaDulu,1888499071469707303,https://pbs.twimg.com/media/GjVL5NlaUAARCCl.jpg,,in,somewhere,5,38,21,https://x.com/aewin86/status/1888499071469707303,119691957,aewin86
1888495987406364720,Sun Feb 09 07:51:44 +0000 2025,15471,Halo kenalan ulang. Aku bisa dipanggil Prima sudah bekerja dengan klien 🇯🇵 dari 2019 hingga sekarang sebagai headhunter. Aku mau coba share pengalaman untuk bantu kandidat dari 🇮🇩 diterima ke klien dan akhirnya bisa #KaburAjaDulu . Ikuti utas ini kalau kamu: 1. Mau pindah ke,1888495987406364720,,,in,"Busan, Republic of Korea",169,131,2764,https://x.com/primawansatrio/status/1888495987406364720,104823513,primawansatrio
1888474554013798476,Sun Feb 09 06:26:34 +0000 2025,7550,Tagar #KaburAjaDulu ini awal mulanya oleh siapa sih? Kenapa viral? Dan siapa top-top influencer yang meramaikannya?,1888474554013798476,https://pbs.twimg.com/media/GjU1XefaYAA-gWZ.jpg,,in,"Jakarta Selatan, DKI Jakarta",137,74,1279,https://x.com/ismailfahmi/status/1888474554013798476,34075325,ismailfahmi
1888208148483502268,Sat Feb 08 12:47:58 +0000 2025,1314,Yup gak mesti di tech role untuk #KaburAjaDulu. Marketing terutama Digital Marketing CRM atau Growth punya banyak lowongan di luar negri. Terutama jika kamu punya skill unik dan bisa analisis.,1888208148483502268,,,in,Europe,22,28,152,https://x.com/IndoWorkAbroad/status/1888208148483502268,1252241356883406848,IndoWorkAbroad
1888062526090604854,Sat Feb 08 03:09:19 +0000 2025,67,Yang mau #KaburAjaDulu biar lebih seru declare sebagai TAPOL atau Pengungsi/Pencari Suaka Politik.,1888062526090604854,,,in,somewhere,1,24,13,https://x.com/aewin86/status/1888062526090604854,119691957,aewin86
1887817185080541517,Fri Feb 07 10:54:25 +0000 2025,7883,Buat yang pada prepare #KaburAjaDulu aku nemu infografis menarik nih. Ngomongin soal jam kerja dan kompensasinya dari yang paling oke sampe yang paling memprihatinkan. Yuk bahas tipis-tipis. Yang udah pada bekerja di negara bersangkutan boleh bantu tambahin yaa.. - a thread,1887817185080541517,https://pbs.twimg.com/media/GjLYqY5bUAAaKr4.jpg,,in,Indonesia,100,119,1792,https://x.com/pandurijal/status/1887817185080541517,344082707,pandurijal
1887656922045948360,Fri Feb 07 00:17:35 +0000 2025,306,Permasalahan #KaburAjaDulu,1887656922045948360,https://pbs.twimg.com/amplify_video_thumb/1887656848603631616/img/Ub5tFxvSKdG33mPM.jpg,,in,"Borobudur, Indonesia",11,18,65,https://x.com/lynxluna/status/1887656922045948360,69194832,lynxluna
1887512522351321341,Thu Feb 06 14:43:48 +0000 2025,1141,Karena ngetren lagi ku ikutan jg. Ku #KaburAjaDulu nya jalur nekat ke JP - Full Privately Funded study - Kerja part-time 5++ tahun sblm lulus. - Skrg jd risercer Kl ada yg bisa ku bantu bs reply u/ usul topik bahasan. Tp maap2 I can't help beyond your willingness to act,1887512522351321341,,,in,"Tokyo, Japan",9,21,126,https://x.com/farislmn/status/1887512522351321341,64129717,farislmn
1887503329426874814,Thu Feb 06 14:07:16 +0000 2025,118,Salah satu alesan gw males #KaburAjaDulu adalah karena gak ada pagi sore di luar negeri. Jadi jangan tanya2 lagi kenapa.,1887503329426874814,,,in,ID,5,22,10,https://x.com/imrenagi/status/1887503329426874814,157604142,imrenagi
1887428517232619885,Thu Feb 06 09:09:59 +0000 2025,2165,The extend of this #KaburAjaDulu ada jurnalis yang wwcr via tertulis. Trus di akhir chatnya dia nanya mas ini pertanyaan di luar topik wwcr tapi kalau untuk profesi jurnalis mas tahu ga kesempatan untuk keluar bagaimana. Saya juga sudah frustrasi dengan xxxxx,1887428517232619885,,,in,"Berlin, Germany",34,23,333,https://x.com/SumitroYoel/status/1887428517232619885,1214199801576714240,SumitroYoel
1887345545553059967,Thu Feb 06 03:40:17 +0000 2025,35795,Yg punya info loker di LN tlg share di sini #KaburAjaDulu,1887345545553059967,,,in,Indonesia,396,521,7049,https://x.com/berlianidris/status/1887345545553059967,230696471,berlianidris
1887081714947891627,Wed Feb 05 10:11:55 +0000 2025,10231,Omataseee~~!! ^^ Buat temen-temen yg lagi mengejar N5 &amp; N4 atau yang baru belajar bahasa Jepang atau yg sekedar ingin bisa kaiwa atau bahkan ingin #KaburAjaDulu ? Wkwkwk aku ada sedikit rekomendasi harus belajar bhs Jepang dari mana dan bagaimana~ Semoga bermanfaat yaa!,1887081714947891627,https://pbs.twimg.com/media/GjBC0FsakAA3RmT.jpg,,in,Masih di Bumi,164,57,1845,https://x.com/rohalus__/status/1887081714947891627,1186660320908988421,rohalus__
